,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2020 and displays the percent change from the previous year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Park,Recreation Visitors,Percent Change,Recreation Visitor Days,Percent Change,,,Non-recreation Visitors,Percent Change,Recreation Visitor Hours,Percent Change,Non-recreation Visitor Hours,Percent Change,"Concessioner
Lodging Overnights",Percent Change,"Concessioner
Camping Overnights",Percent Change,Tent Overnights,Percent Change,Recreation Vehicle Overnights,Percent Change,"Back Country
Overnights",Percent Change,Non-recreation Overnights,Percent Change,Misc. Overnights,Percent Change
,Klondike Gold Rush NHP Alaska,297,-99.97%,436,-99.89%,,,0,,"5,239",-99.89%,0,,0,,0,,0,-100.00%,0,,65,-98.88%,0,,0,
,Kobuk Valley NP,"11,185",-29.06%,"13,468",174.91%,,,"7,961",2.72%,"161,626",174.93%,"199,528",221.82%,0,,0,,0,,0,,"4,888",-30.67%,"5,660",,0,-20.28%
,Lake Clark NP & PRES,"4,948",-71.16%,"6,412",55.74%,,,0,,"76,952",55.75%,0,,0,,0,,0,,0,,"3,048",344.31%,0,,0,
,Noatak NPRES,"12,533",-27.20%,"23,675",11.82%,,,"7,040",-16.69%,"284,102",11.82%,"162,640",140.59%,0,,0,,0,,0,,"3,571",-36.80%,"4,430",,0,-22.96%
,Sitka NHP,"115,494",-50.41%,"7,177",-39.23%,,,0,,"86,135",-39.23%,0,,0,,0,,0,,0,,0,,0,,0,
,Wrangell-St. Elias NP & PRES,"16,655",-77.65%,"63,842",-77.65%,,,0,,"766,112",-77.65%,0,,0,,0,,0,,0,,0,,0,,429,
,Yukon-Charley Rivers NPRES,666,-40.22%,"3,769",-5.33%,,,65,,"45,228",-5.34%,"7,800",,0,,0,,0,,0,,"1,829",-3.64%,325,,0,-51.49%
,Subtotal Alaska,"406,688",-87.36%,"307,767",-85.44%,,,"580,151",,"3,693,297",-85.44%,"762,883",,654,,"12,831",,94,,0,,"47,265",-26.59%,"18,182",,"8,844",
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Park of American Samoa,"4,819",-91.97%,803,-91.97%,,,0,,"9,640",-91.97%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal American Samoa,"4,819",-91.97%,803,-91.97%,,,0,,"9,640",-91.97%,0,,0,,0,,0,,0,,0,,0,,0,
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canyon de Chelly NM,"76,752",-83.34%,"44,318",-83.05%,,,"522,089",-25.71%,"531,822",-83.05%,"1,044,175",-25.71%,"4,627",-70.88%,"1,125",-92.21%,0,,0,,190,-76.54%,"1,449",,0,
,Casa Grande Ruins NM,"44,269",-35.26%,"4,915",-36.67%,,,"1,800",-16.67%,"58,986",-36.67%,180,-16.67%,0,,0,,0,,0,,0,,0,,0,
,Chiricahua NM,"44,794",-26.15%,"19,570",-29.92%,,,"3,600",0.00%,"234,848",-29.92%,"1,200",0.00%,0,,0,,"5,162",-27.87%,"3,820",-26.97%,0,,0,-81.90%,217,
,Coronado NMEM,"156,199",19.85%,"14,164",9.38%,,,"2,508",0.00%,"169,970",9.38%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,
,Fort Bowie NHS,"6,456",-14.79%,"1,076",-14.74%,,,0,,"12,912",-14.79%,0,,0,,0,,0,,0,,0,,0,,0,
,Glen Canyon NRA,"357,804",-57.46%,"216,564",-48.15%,,,"19,876",-40.61%,"2,598,777",-48.15%,"238,506",-40.61%,"18,820",-68.18%,"42,652",-33.86%,"1,946",-82.54%,"1,554",-55.42%,0,,0,-13.43%,"424,926",
,Grand Canyon NP,"2,897,098",-51.51%,"3,734,023",-52.33%,,,"14,788",-30.41%,"44,808,278",-52.33%,"14,788",-30.41%,"218,922",-61.99%,"31,276",-34.02%,"17,331",-85.58%,"6,338",-90.03%,"177,589",-44.51%,0,-98.03%,497,
,Hubbell Trading Post NHS,"11,407",-77.32%,491,-77.32%,,,"4,584",0.00%,"5,894",-77.32%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,
,Lake Mead NRA,"2,004,127",6.90%,"1,200,523",-4.72%,,,"92,784",83.67%,"14,406,287",-4.72%,"556,701",83.67%,"11,578",273.97%,"92,260",383.47%,"1,421",-96.89%,"1,809",-96.89%,"26,190",-72.93%,0,-45.35%,"5,358",
,Montezuma Castle NM,"242,028",-35.67%,"20,169",-35.67%,,,0,,"242,028",-35.67%,0,,0,,0,,0,,0,,0,,0,,0,
,Navajo NM,"3,985",-92.03%,863,-93.38%,,,0,,"10,366",-93.37%,0,,0,,0,,129,-94.58%,172,-92.36%,0,-100.00%,0,-100.00%,0,
,Organ Pipe Cactus NM,"191,512",-27.23%,"61,622",-5.46%,,,"865,849",-32.78%,"739,467",-5.46%,"432,925",-32.78%,0,,0,,"5,040",-27.17%,"27,790",11.28%,145,-47.65%,0,-43.08%,37,
,Petrified Forest NP,"384,483",-40.26%,"78,498",-44.63%,,,120,0.00%,"941,984",-44.63%,120,0.00%,0,,0,,0,,0,,209,-85.60%,0,,0,
,Pipe Spring NM,"10,623",-61.35%,"1,327",-61.37%,,,404,0.00%,"15,933",-61.35%,900,0.00%,0,,0,,0,,0,,0,,0,,0,
,Saguaro NP,"762,226",-25.29%,"69,576",-22.43%,,,"2,897,233",7.51%,"834,920",-22.43%,"724,310",7.51%,0,,0,,0,,0,,"3,461",58.40%,0,,0,
,Sunset Crater Volcano NM,"83,669",-22.80%,"10,142",-10.16%,,,"12,000",0.00%,"121,713",-10.16%,"3,996",0.00%,0,,0,,0,,0,,0,,0,,0,
,Tonto NM,"24,756",-14.20%,"3,355",-20.93%,,,0,,"40,266",-20.93%,0,,0,,0,,0,,0,,0,,0,,0,
,Tumacacori NHP,"23,726",-40.24%,"2,974",-40.62%,,,0,,"35,689",-40.62%,0,,0,,0,,0,,0,,0,,0,47.06%,50,
,Tuzigoot NM,"78,358",-20.48%,"6,529",-20.48%,,,0,,"78,358",-20.48%,0,,0,,0,,0,,0,,0,,0,,0,
,Walnut Canyon NM,"107,422",-29.48%,"11,637",-29.49%,,,480,0.00%,"139,648",-29.48%,240,0.00%,0,,0,,0,,0,,0,,0,,0,
,Wupatki NM,"146,074",-21.91%,"24,345",-22.02%,,,"6,531",0.00%,"292,149",-22.01%,"3,920",0.00%,0,,0,,0,,0,,0,-100.00%,0,,0,
,Subtotal Arizona,"7,657,768",-38.56%,"5,526,681",-46.06%,,,"4,444,646",-7.85%,"66,320,295",-46.06%,"3,024,265",-12.65%,"253,947",-61.17%,"167,313",15.06%,"31,029",,"41,483",,"207,784",-50.74%,"1,449",,"431,085",
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arkansas Post NMEM,"29,653",3.98%,"3,706",3.96%,,,0,,"44,479",3.96%,0,,0,,0,,0,,0,,0,,0,,0,
,Buffalo NR,"1,478,846",11.50%,"643,905",18.01%,,,0,,"7,726,860",18.01%,0,,"3,133",11.06%,0,,"45,764",23.67%,"25,235",139.60%,"12,291",-39.65%,0,75.14%,"23,336",
,Fort Smith NHS,"67,574",-46.16%,"2,758",-61.59%,,,0,,"33,107",-61.58%,0,,0,,0,,0,,0,,0,,0,,0,
,Hot Springs NP,"1,348,215",-8.11%,"338,297",200.05%,,,"148,205",-93.36%,"4,059,569",200.05%,"168,950",-62.14%,0,,0,,"3,190",119.24%,"27,217",12.23%,0,,0,,0,
,Little Rock Central High School NHS,"68,497",-59.45%,"5,708",-59.45%,,,0,,"68,497",-59.45%,0,,0,,0,,0,,0,,0,,0,,0,
,Pea Ridge NMP,"80,455",-21.70%,"13,408",-21.71%,,,0,,"160,907",-21.70%,0,,0,,0,,0,,0,,0,,0,,0,
,President W.J. Clinton Birthplace Home NHS,"4,055",-53.70%,337,-53.77%,,,0,,"4,055",-53.70%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Arkansas,"3,077,295",-4.67%,"1,008,119",43.80%,,,"148,205",,"12,097,474",43.80%,"168,950",,"3,133",,0,,"48,954",,"52,452",,"12,291",,0,,"23,336",
California,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabrillo NM,"523,878",-31.20%,"65,436",-31.06%,,,"74,780",-8.57%,"785,237",-31.06%,"18,694",-8.57%,0,,0,,0,,0,,0,,0,,0,
,Cesar E. Chavez NM,"5,668",-65.63%,236,-65.65%,,,0,,"2,834",-65.63%,0,,0,,0,,0,,0,,0,,0,,0,
,Channel Islands NP,"167,290",-59.16%,"257,649",-42.87%,,,"3,144",-29.27%,"3,091,790",-42.87%,"75,468",-29.27%,0,,0,,0,,0,,"9,264",-60.43%,"8,072",0.00%,"45,077",2.33%
,Death Valley NP,"809,191",-53.52%,"531,789",-46.93%,,,"33,210",-51.86%,"6,381,470",-46.93%,"49,814",-51.86%,"7,753",-72.07%,"1,890",-56.65%,"68,417",-8.18%,"78,746",-19.30%,"1,674",-12.58%,0,-58.59%,188,
,Devils Postpile NM,"108,590",-26.56%,"31,672",-26.56%,,,0,,"380,064",-26.56%,0,,0,,0,,0,,0,,0,,0,,0,
,Eugene O'Neill NHS,"14,423",389.91%,680,29.03%,,,12,-83.78%,"8,163",28.96%,24,-83.78%,0,,0,,0,,0,,0,,0,,0,
,Fort Point NHS,"884,538",-37.77%,"38,392",-41.04%,,,0,,"460,713",-41.04%,0,,0,,0,,0,,0,,0,,0,,0,
,Golden Gate NRA,"12,400,045",-17.35%,"2,675,945",-18.01%,,,0,,"32,111,346",-18.01%,0,,"6,774",-85.53%,0,,"1,502",-55.73%,0,,303,-58.49%,0,-70.69%,"2,689",
,John Muir NHS,"33,603",-17.49%,"4,200",-17.49%,,,28,-54.10%,"50,404",-17.49%,7,-53.33%,0,,0,,0,,0,,0,,0,,0,
,Joshua Tree NP,"2,399,542",-19.71%,"1,143,570",-21.54%,,,"9,028",-13.54%,"13,722,846",-21.54%,"9,028",-13.54%,0,,0,,"179,600",-22.69%,"54,393",-30.44%,"8,915",-50.97%,0,-56.27%,"26,673",
,Kings Canyon NP,"415,077",-34.33%,"1,127,169",-35.67%,,,"17,122",-41.49%,"13,526,039",-35.67%,"68,488",-41.49%,"11,461",-79.93%,0,,"17,846",-82.78%,"4,328",-86.72%,"10,831",-30.79%,0,-100.00%,0,
,Lassen Volcanic NP,"542,274",4.88%,"495,875",8.38%,,,0,,"5,950,506",8.38%,0,,"3,914",-28.67%,"2,046",-5.01%,"70,239",23.54%,"32,754",9.49%,"5,187",-22.41%,0,13.04%,"14,282",
,Lava Beds NM,"111,258",1.48%,"27,583",-19.12%,,,771,0.00%,"330,998",-19.12%,381,0.00%,0,,0,,"2,724",-64.34%,"1,661",-53.53%,17,-37.04%,0,-100.00%,0,
,Manzanar NHS,"65,289",-32.95%,"8,161",-32.95%,,,0,,"97,933",-32.95%,0,,0,,0,,0,,0,,0,,0,,0,
,Mojave NPRES,"608,633",-27.67%,"305,357",-27.47%,,,0,,"3,664,289",-27.47%,0,,0,,0,,458,316.36%,575,379.17%,0,,0,-60.00%,8,
,Muir Woods NM,"324,232",-60.07%,"36,016",-60.07%,,,0,,"432,203",-60.07%,0,,0,,0,,0,,0,,0,,0,,0,
,Pinnacles NP,"165,740",-6.48%,"97,892",85.13%,,,0,,"1,174,710",85.13%,0,,0,,"26,118",,0,,0,,0,,0,,0,
,Point Reyes NS,"2,252,424",-0.57%,"817,564",-13.90%,,,"25,788",0.00%,"9,810,775",-13.90%,"25,788",0.00%,"1,798",-80.68%,36,50.00%,0,,0,,"22,998",-38.10%,0,,0,
,Port Chicago Naval Magazine NMEM,70,-91.57%,11,-92.03%,,,0,,140,-91.57%,0,,0,,0,,0,,0,,0,,0,,0,
,Redwood NP,"265,177",-47.46%,"96,066",-34.60%,,,0,,"1,152,794",-34.60%,0,,0,,0,,"1,706",-37.30%,0,,"4,931",50.52%,0,-99.39%,11,
,Rosie The Riveter WWII Home Front NHP,"9,528",-81.10%,"2,382",-81.10%,,,0,,"28,584",-81.10%,0,,0,,0,,0,,0,,0,,0,,0,
,San Francisco Maritime NHP,"1,936,101",-51.80%,"160,909",-49.25%,,,0,,"1,930,915",-49.25%,0,,0,,0,,0,,0,,0,,0,167.53%,618,
,Santa Monica Mountains NRA,"733,576",3.68%,"122,491",23.36%,,,"90,732",-18.51%,"1,469,894",23.36%,"45,906",-18.34%,0,,0,,0,,0,,0,-100.00%,0,,0,
,Sequoia NP,"796,086",-36.11%,"2,054,175",-38.46%,,,"10,252",-35.87%,"24,650,105",-38.46%,"41,008",-35.87%,"29,222",-58.02%,0,,"25,333",-80.97%,"18,005",-73.78%,"20,943",-29.89%,0,-100.00%,0,
,Whiskeytown NRA,"805,295",17.19%,"225,250",17.91%,,,"5,874",-3.45%,"2,703,000",17.91%,"11,279",-0.92%,0,,"10,324",47.91%,872,27.86%,667,30.02%,0,,0,-100.00%,0,
,Yosemite NP,"2,268,313",-48.71%,"2,131,938",-60.95%,,,"92,498",-43.46%,"25,583,263",-60.95%,"2,432,384",-41.24%,"252,374",-63.01%,0,,"68,002",-85.52%,"44,496",-79.01%,"143,760",-7.60%,0,-100.00%,0,
,Subtotal California,"28,645,841",-27.70%,"12,458,408",-36.82%,,,"363,239",-29.96%,"149,501,015",-36.82%,"2,778,269",-40.32%,"313,296",,"40,414",,"436,699",,"235,625",,"228,823",,"8,072",,"89,546",
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bent's Old Fort NHS,"12,438",-42.61%,"1,813",-42.63%,,,0,,"21,767",-42.61%,0,,0,,0,,0,,0,,0,,0,,0,
,Black Canyon of the Gunnison NP,"341,620",-21.07%,"156,234",-14.57%,,,0,,"1,874,808",-14.57%,0,,0,,0,,"18,768",5.46%,"10,979",-10.54%,"2,419",29.98%,0,,0,
,Colorado NM,"435,625",9.72%,"113,145",-1.42%,,,"356,510",-3.18%,"1,357,747",-1.41%,"178,255",-3.18%,0,,0,,"16,601",-3.25%,"11,349",-37.09%,175,-37.05%,0,,0,
,Curecanti NRA,"921,584",10.23%,"352,970",8.02%,,,0,,"4,235,640",8.01%,0,,0,,0,,"21,748",5.53%,"45,496",6.83%,235,-35.62%,0,-100.00%,0,
,Dinosaur NM,"195,466",-11.65%,"83,514",-26.21%,,,0,-100.00%,"1,002,176",-26.21%,0,-100.00%,0,,0,,"5,319",-15.29%,"1,613",70.33%,"14,705",-34.50%,0,-61.57%,704,
,Florissant Fossil Beds NM,"61,081",-21.02%,"6,151",-22.02%,,,0,,"73,821",-22.02%,0,,0,,0,,0,,0,,0,,0,,0,
,Great Sand Dunes NP & PRES,"461,532",-12.51%,"159,822",-29.39%,,,470,0.00%,"1,917,872",-29.39%,470,0.00%,0,,0,,"21,783",-25.85%,"12,925",-40.89%,"4,910",-0.47%,0,-100.00%,0,
,Hovenweep NM,"8,736",-43.92%,"2,350",-48.12%,,,132,0.00%,"28,202",-48.12%,24,0.00%,0,,0,,0,,0,,0,,0,,0,
,Mesa Verde NP,"287,477",-48.31%,"156,122",-52.80%,,,"7,519",-25.41%,"1,873,472",-52.80%,"7,519",-25.41%,"5,724",-73.36%,0,,"12,660",-62.34%,"13,809",-47.11%,0,,0,-91.86%,21,
,Rocky Mountain NP,"3,305,199",-29.23%,"1,799,117",-31.54%,,,"8,750",0.00%,"21,589,410",-31.54%,"26,250",0.00%,0,,0,,"31,350",-72.21%,"37,017",-42.88%,"41,522",0.75%,0,-100.00%,0,
,Sand Creek Massacre NHS,"4,215",-26.07%,702,-26.11%,,,0,,"8,430",-26.07%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Colorado,"6,034,973",-22.24%,"2,831,940",-28.11%,,,"373,381",,"33,983,345",-28.11%,"212,518",,"5,724",,0,,"128,229",,"133,188",,"63,966",,0,,725,
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weir Farm NHS,"25,430",-34.29%,"3,441",-42.92%,,,0,,"41,293",-42.92%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Connecticut,"25,430",-34.29%,"3,441",-42.92%,,,0,,"41,293",-42.92%,0,,0,,0,,0,,0,,0,,0,,0,
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belmont-Paul Women's Equality NM,"2,535",-74.43%,208,-72.08%,,,18,,"2,500",-72.05%,59,,0,,0,,0,,0,,0,,0,,0,
,Carter G. Woodson Home NHS,548,-76.98%,24,-76.24%,,,0,,299,-75.37%,0,,0,,0,,0,,0,,0,,0,,0,
,Chesapeake & Ohio Canal NHP,"1,173,224",-4.46%,"204,924",-1.63%,,,"2,856",0.00%,"2,459,097",-1.63%,"2,856",0.00%,0,,0,,0,,0,,0,,0,,0,
,Dwight D. Eisenhower MEM,"187,328",,"7,805",,,,0,,"93,664",,0,,0,,0,,0,,0,,0,,0,,0,
,Ford's Theatre NHS,"56,058",-90.21%,"6,569",-90.20%,,,540,-83.44%,"78,837",-90.20%,"1,620",-83.44%,0,,0,,0,,0,,0,,0,,0,
,Franklin Delano Roosevelt MEM,"1,010,986",-69.40%,"42,124",-69.40%,,,0,,"505,492",-69.40%,0,,0,,0,,0,,0,,0,,0,,0,
,Frederick Douglass NHS,"10,969",-82.04%,914,-82.04%,,,0,,"10,969",-82.04%,0,,0,,0,,0,,0,,0,,0,,0,
,Korean War Veterans Memorial,"1,363,714",-64.50%,"56,821",-64.50%,,,0,,"681,856",-64.50%,0,,0,,0,,0,,0,,0,,0,,0,
,Lincoln Memorial,"2,980,075",-61.83%,"124,169",-61.83%,,,0,,"1,490,037",-61.83%,0,,0,,0,,0,,0,,0,,0,,0,
,"Martin Luther King, Jr. Memorial","1,083,671",-70.45%,"45,152",-70.45%,,,0,,"541,833",-70.45%,0,,0,,0,,0,,0,,0,,0,,0,
,Mary McLeod Bethune Council House NHS,578,-84.74%,96,-84.79%,,,0,,"1,156",-84.74%,0,,0,,0,,0,,0,,0,,0,,0,
,National Capital Parks Central,"665,650",-62.41%,"164,015",75.85%,,,0,,"1,968,180",75.85%,0,,0,,0,,0,,0,,0,,0,,0,
,National Capital Parks East,"804,080",-26.20%,"105,922",-31.00%,,,"4,652,118",-22.79%,"1,271,065",-31.00%,"2,053,427",-14.32%,0,,0,,0,,0,,0,,0,,0,
,Pennsylvania Avenue NHS,"15,898",-87.29%,437,-87.29%,,,0,,"5,246",-87.29%,0,,0,,0,,0,,0,,0,,0,,0,
,President's Park,"369,533",-48.38%,"51,712",-30.37%,,,0,,"620,545",-30.37%,0,,0,,0,,0,,0,,0,,0,,0,
,Rock Creek Park,"1,768,152",-26.82%,"140,637",-35.17%,,,"12,421,268",0.28%,"1,687,654",-35.17%,"6,210,631",0.28%,0,,0,,0,,0,,0,,0,,0,
,Thomas Jefferson MEM,"852,626",-72.47%,"35,526",-72.47%,,,0,,"426,314",-72.47%,0,,0,,0,,0,,0,,0,,0,,0,
,Vietnam Veterans MEM,"1,585,525",-65.39%,"66,063",-65.39%,,,0,,"792,761",-65.39%,0,,0,,0,,0,,0,,0,,0,,0,
,Washington Monument,"83,585",-22.90%,"6,965",-22.90%,,,0,,"83,585",-22.90%,0,,0,,0,,0,,0,,0,,0,,0,
,White House,"114,519",-74.78%,"7,896",-69.16%,,,0,,"94,760",-69.16%,0,,0,,0,,0,,0,,0,,0,,0,
,World War II Memorial,"1,924,128",-60.17%,"80,172",-60.17%,,,0,,"962,064",-60.17%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal District of Columbia,"16,053,382",-59.55%,"1,148,151",-46.72%,,,"17,076,800",,"13,777,914",-46.72%,"8,268,593",,0,,0,,0,,0,,0,,0,,0,
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Big Cypress NPRES,"1,181,930",17.32%,"356,811",26.17%,,,0,,"4,281,739",26.17%,0,,0,,0,,"5,213",74.82%,"10,507",-7.83%,"4,821",19.75%,0,,254,
,Biscayne NP,"402,770",-43.15%,"103,140",-43.87%,,,0,,"1,237,687",-43.87%,0,,0,,0,,145,-39.08%,0,,0,,0,-64.96%,"1,079",
,Canaveral NS,"1,162,950",-38.28%,"245,786",-37.91%,,,0,,"2,949,438",-37.91%,0,,0,,0,,0,,0,,"2,720",10.88%,0,,0,
,Castillo de San Marcos NM,"251,061",-62.72%,"15,691",-62.72%,,,0,,"188,297",-62.72%,0,,0,,0,,0,,0,,0,,0,,0,
,De Soto NMEM,"196,114",4.38%,"26,965",4.38%,,,0,,"323,588",4.38%,0,,0,,0,,0,,0,,0,,0,,0,
,Dry Tortugas NP,"48,543",-38.71%,"31,445",-38.46%,,,"1,392",-46.17%,"377,351",-38.46%,"16,704",-46.17%,0,,0,,"3,954",-41.73%,0,,0,,"1,392",-34.48%,"5,802",-46.17%
,Everglades NP,"702,319",-37.20%,"354,772",-14.23%,,,"6,000",0.00%,"4,257,274",-14.23%,"27,000",0.00%,0,,"49,078",82.44%,0,,0,,"14,159",11.21%,0,-18.09%,756,
,Fort Caroline NMEM,"404,476",115.54%,"33,706",115.54%,,,0,,"404,476",115.54%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Matanzas NM,"543,590",-8.45%,"47,258",-5.70%,,,0,,"567,101",-5.70%,0,,0,,0,,0,,0,,0,,0,,0,
,Gulf Islands NS,"3,052,959",-30.04%,"594,203",-39.04%,,,"9,252",-25.00%,"7,130,442",-39.04%,"4,626",-25.00%,0,,0,,"4,818",-84.84%,"31,585",-73.47%,0,,0,-31.70%,"2,603",
,Timucuan EHP,"1,017,373",-15.58%,"211,257",-15.88%,,,0,,"2,535,086",-15.88%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Florida,"8,964,085",-25.36%,"2,021,034",-24.78%,,,"16,644",,"24,252,479",-24.78%,"48,330",,0,,"49,078",,"14,130",-66.18%,"42,092",-67.74%,"21,700",12.96%,"1,392",,"10,494",
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andersonville NHS,"63,799",-38.44%,"10,633",-38.44%,,,0,,"127,596",-38.44%,0,,0,,0,,0,,0,,0,,0,,0,
,Chattahoochee River NRA,"3,066,877",-9.62%,"1,022,292",-9.62%,,,0,,"12,267,508",-9.62%,0,,0,,0,,0,,0,,0,,0,,0,
,Chickamauga & Chattanooga NMP,"339,208",-30.57%,"58,154",-25.61%,,,"2,021,436",-7.37%,"697,857",-25.61%,"303,214",-7.37%,0,,0,,0,,0,,0,,0,-62.55%,628,
,Cumberland Island NS,"37,295",-30.81%,"42,217",-45.00%,,,0,,"506,607",-45.00%,0,,0,,0,,"9,444",-55.42%,0,,"2,785",-38.04%,0,,0,
,Fort Frederica NM,"210,892",-0.68%,"17,921",0.36%,,,"1,800",0.00%,"215,057",0.36%,444,0.00%,0,,0,,0,,0,,0,,0,,0,
,Fort Pulaski NM,"357,970",-4.36%,"74,577",-4.36%,,,"19,476",0.00%,"894,929",-4.36%,"4,872",0.00%,0,,0,,0,,0,,0,,0,,0,
,Jimmy Carter NHS,"14,267",-71.91%,"1,472",-70.01%,,,0,,"17,668",-70.01%,0,,0,,0,,0,,0,,0,,0,,0,
,Kennesaw Mountain NBP,"2,356,401",-10.10%,"306,958",-12.25%,,,"25,492,081",0.59%,"3,683,500",-12.25%,"4,078,734",0.59%,0,,0,,0,,0,,0,,0,,0,
,"Martin Luther King, Jr. NHP","198,158",-73.98%,"24,951",-74.11%,,,0,,"299,415",-74.11%,0,,0,,0,,0,,0,,0,,0,,0,
